query_idx,query,query_type,relevant_skus,retrieved_skus,hit_at_5,reciprocal_rank,recall@5,ndcg@5,latency_ms
13,Pivot bolt PT-1101-PVT specifications for monitor arm,exact_sku,MON-ARM-DUAL,MON-ARM-DUAL,1,1.0,1.0,1.0,1191.7437999509275
14,Tell me about the ErgoFlex Pro Office Chair,product_name,CHAIR-ERG-X99,CHAIR-ERG-X99;MON-ARM-DUAL,1,1.0,1.0,1.0,1086.6619000444189
15,Motorized Standing Desk Standard overview and key details,product_name,DESK-STD-MOTO,DESK-STD-MOTO;CHAIR-ERG-X99,1,1.0,1.0,1.0,1042.1144000138156
16,Dual Monitor Arm Heavy Duty product description,product_name,MON-ARM-DUAL,MON-ARM-DUAL;CHAIR-ERG-X99,1,1.0,1.0,1.0,798.282100004144
17,ErgoSplit Mechanical Keyboard features and layout,product_name,KB-ERGO-SPLIT,KB-ERGO-SPLIT;HEADSET-WL-PRO,1,1.0,1.0,1.0,641.0885999794118
18,Vertical Ergonomic Mouse Pro design and specifications,product_name,MOUSE-VERT-PRO,MOUSE-VERT-PRO;MON-ARM-DUAL;CHAIR-ERG-X99,1,1.0,1.0,1.0,539.0860000043176
19,Wireless Pro Headset audio capabilities and battery,product_name,HEADSET-WL-PRO,HEADSET-WL-PRO,1,1.0,1.0,1.0,1629.0774999652058
20,What comes included with ErgoFlex Pro Office Chair?,product_name,CHAIR-ERG-X99,CHAIR-ERG-X99;DESK-STD-MOTO;MON-ARM-DUAL,1,1.0,1.0,1.0,782.9266000189818
21,Motorized Standing Desk Standard dual motor setup,product_name,DESK-STD-MOTO,DESK-STD-MOTO,1,1.0,1.0,1.0,1075.7199000217952
22,Dual Monitor Arm Heavy Duty mounting options,product_name,MON-ARM-DUAL,MON-ARM-DUAL;CHAIR-ERG-X99,1,1.0,1.0,1.0,994.0786000224762
23,ErgoSplit Mechanical Keyboard firmware and connectivity,product_name,KB-ERGO-SPLIT,KB-ERGO-SPLIT,1,1.0,1.0,1.0,664.3646000302397
24,Vertical Ergonomic Mouse Pro sensor and ergonomic angle,product_name,MOUSE-VERT-PRO,MOUSE-VERT-PRO,1,1.0,1.0,1.0,740.8434000099078
25,Wireless Pro Headset microphone and sound quality,product_name,HEADSET-WL-PRO,HEADSET-WL-PRO,1,1.0,1.0,1.0,663.826500007417
26,What is the warranty coverage on CHAIR-ERG-X99?,feature,CHAIR-ERG-X99,CHAIR-ERG-X99,1,1.0,1.0,1.0,11.308900022413582
27,What is the height adjustment range of DESK-STD-MOTO?,feature,DESK-STD-MOTO,DESK-STD-MOTO,1,1.0,1.0,1.0,12.733499985188246
28,What is the maximum monitor weight capacity of MON-ARM-DUAL?,feature,MON-ARM-DUAL,MON-ARM-DUAL,1,1.0,1.0,1.0,10.610199999064207
29,Does KB-ERGO-SPLIT support wireless Bluetooth connectivity?,feature,KB-ERGO-SPLIT,KB-ERGO-SPLIT,1,1.0,1.0,1.0,12.157500023022294
30,What is the ergonomic grip angle on MOUSE-VERT-PRO?,feature,MOUSE-VERT-PRO,MOUSE-VERT-PRO;CHAIR-ERG-X99;MON-ARM-DUAL;HEADSET-WL-PRO,1,1.0,1.0,1.0,1499.869099992793
31,What is the battery run time on HEADSET-WL-PRO?,feature,HEADSET-WL-PRO,HEADSET-WL-PRO,1,1.0,1.0,1.0,2369.2110999836586
32,Can the armrests on CHAIR-ERG-X99 be adjusted in height?,feature,CHAIR-ERG-X99,CHAIR-ERG-X99,1,1.0,1.0,1.0,14.826000027824193
33,Does the DESK-STD-MOTO control box have Bluetooth pairing?,feature,DESK-STD-MOTO,DESK-STD-MOTO,1,1.0,1.0,1.0,15.1791000389494
34,Is MON-ARM-DUAL compatible with 32 inch monitors?,feature,MON-ARM-DUAL,MON-ARM-DUAL,1,1.0,1.0,1.0,13.913200004026294
35,Are the switches on KB-ERGO-SPLIT hot-swappable?,feature,KB-ERGO-SPLIT,KB-ERGO-SPLIT,1,1.0,1.0,1.0,15.188300050795078
36,Does MOUSE-VERT-PRO have adjustable DPI on the fly?,feature,MOUSE-VERT-PRO,MOUSE-VERT-PRO,1,1.0,1.0,1.0,971.9977999920957
37,Does HEADSET-WL-PRO include a detachable boom microphone?,feature,HEADSET-WL-PRO,HEADSET-WL-PRO,1,1.0,1.0,1.0,1740.8140000188723
38,Can DESK-STD-MOTO save preset height positions?,feature,DESK-STD-MOTO,DESK-STD-MOTO,1,1.0,1.0,1.0,17.542999994475394
39,Desk lifting speed 32mm/s and 24V DC motor specs,specification,DESK-STD-MOTO,DESK-STD-MOTO,1,1.0,1.0,1.0,3071.9485000008717
40,Chair gas lift cylinder 120mm stroke 1000N rating,specification,CHAIR-ERG-X99,CHAIR-ERG-X99;DESK-STD-MOTO,1,1.0,1.0,1.0,1878.831000009086
41,Monitor arm VESA pattern 75x75 and 100x100 mounting specs,specification,MON-ARM-DUAL,MON-ARM-DUAL,1,1.0,1.0,1.0,1631.2768000061624
42,Keyboard switch Cherry MX Brown 55g tactile actuation force,specification,KB-ERGO-SPLIT,KB-ERGO-SPLIT;CHAIR-ERG-X99,1,1.0,1.0,1.0,1638.2173000019975
43,Mouse sensor PixArt PAW3395 26000 DPI and 650 IPS tracking,specification,MOUSE-VERT-PRO,MOUSE-VERT-PRO,1,1.0,1.0,1.0,1647.8372999699786
44,Headset 40mm neodymium driver 32 ohm impedance 20Hz-20kHz,specification,HEADSET-WL-PRO,HEADSET-WL-PRO,1,1.0,1.0,1.0,588.5439999983646
45,Lifting spindle Tr10x3 trapezoidal thread 600mm travel,specification,DESK-STD-MOTO,DESK-STD-MOTO;MON-ARM-DUAL,1,1.0,1.0,1.0,1077.27700000396
46,Caster 60mm nylon stem mount 50kg load capacity,specification,CHAIR-ERG-X99,CHAIR-ERG-X99,1,1.0,1.0,1.0,905.7361999875866
47,Gas spring 2-9kg force range 200mm stroke M6 end fitting,specification,MON-ARM-DUAL,MON-ARM-DUAL;CHAIR-ERG-X99;DESK-STD-MOTO,1,1.0,1.0,1.0,834.0668000164442
48,Wireless module nRF52840 Bluetooth 5.0 and 2.4GHz,specification,KB-ERGO-SPLIT,KB-ERGO-SPLIT;DESK-STD-MOTO;HEADSET-WL-PRO,1,1.0,1.0,1.0,717.7224000333808
49,Mouse polling rate 1000Hz 1ms response time specs,specification,MOUSE-VERT-PRO,MOUSE-VERT-PRO;DESK-STD-MOTO;MON-ARM-DUAL,1,1.0,1.0,1.0,405.0795999937691
50,Headset battery BT-6601-BAT 1200mAh capacity and charging time,specification,HEADSET-WL-PRO,HEADSET-WL-PRO;MOUSE-VERT-PRO,1,1.0,1.0,1.0,1902.3714999784715
